sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
435,15.2,Sayıştay,STK,,44039,2018-01-31,gebe×2 | travma×1 | illiyet×3 | cenin/düşük,"…lan harcamaların bütçe ilke ve esaslarına, kanun, tüzük ve yönetmelikler ile diğer mevzuata uygunluğundan; asli bir gerçekleştirme belgesi olan ödeme emri belgesini düzenleyen sıfatıyla imzalayan gerçekleştirme görevlileri de, düzenlediği belge ile birlikte harcama sürecindeki diğer belgelerin doğruluğundan ve mevzuata uygunluğundan harcama yetkilisi ile birlikte sorumludurlar. Dolayısıyla ilgilinin…",İŞÇİLERİN MAAŞ ÖDEMELERİNDE 01.03.2005 TARİHİNDEN SONRA İŞE GİRECEKLERE UYGULANACAK ÜCRET SKALASI OLAN EK 1/B YERİNE BU TARİHTEN ÖNCE İŞE GİRENLERE UYGULANACAK OLAN EK 1/A ÜCRET SKALASININ UYGULANMASI
436,15.2,Yargıtay,2,2023/5284,1725,2024-03-13,gebe×2 | travma×7 | cenin/düşük,"…aşvurularının ziynet alacağı yönünden işin esası incelenmeksizin kabulü ile İlk Derece Mahkemesi hükmünün bu yönden kaldırılarak açıklanan sebeplerle emredici usul kurallarına uygun olarak hüküm tesis edilmesi için dosyanın İlk Derece Mahkemesine gönderilmesine, taraf vekillerinin boşanma ve fer'îlerine yönelik sair istinaf taleplerinin esastan reddine karar verilmiştir. Bölge Adliye Mahkemesi kararı…",YARGITAY KARARI
437,15.2,Yargıtay,12,2013/1211,24197,2013-11-01,gebe×2 | travma×1 | illiyet×3 | cenin/düşük,"…cu down sendromu riskinin yüksek çıkması nedeniyle, 14.02.2008 tarihinde amniosentez işleminin uygulandığı, daha sonra 19.02.2008 tarihinde katılanın düşük yaptığı, katılanın, sanık doktorun söz konusu işlem sırasında kendisinden 3 adet iğne ile 3'er defadan 9 defa sıvı almaya çalıştığını, ancak alamadığını beyan ettiği, sanığın ise soruşturma aşamasında alınan beyanında; ambien sıvısını 9 farklı yerden iğ…",TAKSİRLE YARALAMA SUÇU - SANIĞIN TIBBİ AÇIDAN KUSURLU BULUNUP BULUNMADIĞININ SAVUNMASI - SANIĞIN EYLEMİ İLE MEYDANA GELEN SONUÇ ARASINDA İLLİYET BAĞI BULUNUP BULUNMADIĞININ TESPİTİ - HÜKMÜN BOZULMASI
438,15,A.İ.H.M.,A.İ.H.M.,1996/32446,,2004-11-02,gebe×2 | travma×8 | illiyet×1 | TCK 87/88,"…i olduğuna, ancak derogasyona göre bunun Adana ilini kapsamadığına işaret eder. Fakat, başvuranın yakalanıp alıkonulması Adana Cumhuriyet Savcısı'nın emri ile Adana'da gerçekleşmiştir. 69. Bu davada AİHM, söz konusu derogasyonun bölgesel kapsamını değerlendirirken, bu derogasyonun etkisini derogasyonun içeriğinde açıkça beyan edilmemiş bir bölgeyi de kapsayacak şekilde ele aldığı takdirde, 15. madden…",ABDÜLSAMET YAMAN - TÜRKİYE DAVASI
439,15,Yargıtay,CG,2020/346,527,2020-12-17,gebe×2 | travma×85 | TCK 87/88,"…ıvası ile birlikte kesilerek alındığının bildirildiği, İzmir Adli Tıp Grup Başkanlığınca düzenlenen 07.05.2012 tarihli raporda; maktulün kanında 0,15 promil alkol bulunduğu, kanda ve idrarda uyuşturucu madde kalıntısına rastlanılmadığı tespitlerine yer verildiği,, Isparta Emniyet Müdürlüğü Olay Yeri İnceleme ve Kimlik Tespit Şube Büro Amirliğince düzenlenen 16.05.2012 tarihli uzmanlık raporunda; olay…",YARGITAY KARARI
440,14.9,Yargıtay,16,2019/11091,5748,2020-11-05,gebe×1 | travma×21 | illiyet×7,…ulduğu görülmektedir. 1632 sayılı Askeri Ceza Kanunu 41/3-B maddesinde de TCK’nın 220/5. maddesine paralel bir düzenlemeye yer verilmiştir. Bağlayıcı emrin yerine getirilmesi kapsamında astların hukuki sorumluluğu: Ayrıntılarına Dairenin 09.12.2019 tarih ve 2019/6765-2019/8453 karar sayılı kararında yer verildiği üzere: 5237 sayılı TCK'nın benimsediği suç teorisine göre: tipe uygun ve hukuka aykırı f…,YARGITAY KARARI
441,14.8,Yargıtay,7,2015/5683,4546,2016-02-26,gebe×6 | travma×1 | illiyet×1 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
442,14.8,Yargıtay,12,2023/2412,3409,2024-06-26,gebe×8 | travma×6 | illiyet×6,"…adığının şüpheye yer bırakmayacak şekilde tespit edilmediği anlaşılmakla, dosyanın bir kez de Adli Tıp Kurumu Genel Kuruluna gönderilmesi ile bebeğin ölü doğumu ile sanığın eylemi arasında uygun illiyet bağının bulunup bulunmadığına ilişkin ayrıntılı raporun düzenlenmesinin sağlanması ile neticesine göre sanığın hukuki durumunun takdir ve tayini gereğiyle bozulmasına karar verildiği, bozma ilamına uyularak…",YARGITAY KARARI
443,14.8,Yargıtay,7,2014/12859,19854,2014-10-30,gebe×6 | travma×3 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Somut olayda, davacı kendisine ayrımcılık yapıldığ…",YARGITAY KARARI
444,14.7,Yargıtay,2,2022/11015,2091,2023-05-03,gebe×1 | travma×7 | cenin/düşük,"…i ve yakın akrabaları olduğunu, beyanlarını kabul etmediklerini, kadının ortak konutu terk ettiğini ve kusurlu olduğunu, hastane kayıtlarında kadının düşük yaptığına ilişkin bir kaydın bulunmadığını, maddî ve manevî tazminat ile nafakaya hükmedilmesinin hatalı olduğunu, miktarlarının yüksek olduğunu ve kaldırılmasını, aksi halde miktarlarının indirilmesi gerektiğini beyanla, asıl davanın kabulü ile karşı d…",YARGITAY KARARI
445,14.6,Yargıtay,2,2023/9943,7117,2024-10-09,gebe×2 | travma×4 | illiyet×1 | cenin/düşük,"…ak dayanmadığından erkeğe yüklenen kusurlardan çıkarılması gerektiği, gerçekleşen ve mahkemece belirlenene göre erkeğe \""eşi hamileyken rahatsızlanıp düşük yaptığında ilgilenmediği, eşi ailesinin yanına ziyarete gittiğinde arayıp sormadığı ve ilgilenmediği, ekonomik olarak eşine destek olmadığı, evin ihtiyaçlarını yeterince karşılamadığı ve en son evin anahtarını alıp eşini evde tek başına bırakarak kendi…",YARGITAY KARARI
446,14.6,Danıştay,10,2022/1680,4813,2025-10-27,gebe×74 | travma×2 | illiyet×7,"…ve normal doğumun hatalı olduğunun göstergesi olduğu, idarenin kusurunu gizlemek adına bebeğin doğumdan sonra tartılamadığının kayıt altına alındığı, ölü doğumun da kayıtlara canlı doğum olarak yansıtıldığı, hastane kayıtlarının incelenmesinden ...'nın uzun süre içerde kalması nedeniyle solunum güçlüğü yaşadığının, olayda idarenin kusuru bulunduğunun görüleceği, bebekte meydana gelen engellilik halinin doğ…",DANIŞTAY KARARI
447,14.6,Yargıtay,2,2022/9533,273,2023-01-18,gebe×2 | travma×6 | cenin/düşük,"…valının müvekkilinin zorla ailesinin yanına köye sık sık götürdüğünü, hakaret ve tehdit ettiğini, şiddet uyguladığını, küfrettiğini, hamileliğinde ve düşük yaptığı dönemlerde yanında olmadığını ve ilgilenmediğini, son fiili ayrılıkta kapı kilidini değiştirerek evi boşalttığını iddia ederek tarafların evlilik birliginin temelinden sarsılması sebebi ile boşanmalarına, ortak çocupun velâyetinin müvekkiline ve…",YARGITAY KARARI
448,14.5,A.İ.H.M.,A.İ.H.M.,2013/8228,,2018-12-04,gebe×3 | travma×5 | cenin/düşük,"…başlığı altında, başvuran ile ilgili bir tıbbi rapor yayımlanmıştı. Makalede, başvuranın, çevik kuvvetin elinde kötü muameleye maruz kaldıktan sonra düşük yaptığı yönündeki iddialarının aksine, söz konusu rapor kapsamında, ilgilinin vücudunda darp ve yara izi bulunmadığı sonucuna varıldığı belirtilmekteydi. &nbsp; 9. Başvuran 3 Şubat 2011 tarihinde, Bakırköy Cumhuriyet Savcısına (&ldquo;Cumhuriyet Savcısı…",EZGİ ÖZEN - TÜRKİYE DAVASI
449,14.2,Yargıtay,7,2014/16097,23029,2014-12-22,gebe×6 | travma×2 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",İŞÇİ ALACAKLARI DAVASI - DİĞER ALACAKLARIN FAİZLERİNİN DOĞDUKLARI TARİHTEN İTİBAREN HÜKÜM ALTINA ALINMASI GEREĞİ - DAVA VE ISLAH TARİHLERİNE GÖRE İŞLEYECEK EN YÜKSEK BANKA MEVDUAT FAİZ ORANIYLA BİRLİK
450,14.2,Yargıtay,9,2016/19747,17312,2019-10-03,gebe×6 | travma×2 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
451,14.2,Yargıtay,22,2016/15581,15077,2017-06-21,gebe×6 | travma×2 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
452,14.2,Yargıtay,9,2017/9036,1503,2019-01-17,gebe×6 | travma×2 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
453,14.2,Yargıtay,9,2019/186,1842,2019-01-22,gebe×6 | travma×2 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
454,14.1,Yargıtay,17,2014/10568,9503,2016-10-31,gebe×1 | travma×1 | cenin/düşük | trafik/iş kaz,"…ıların yaralandıklarını, kazada yaralanan davacıların işgücü kaybına uğrayıp tedavi görmek zorunda kaldıklarını ve 8 aylık hamile olan davacı ...'nın düşük yaptığını, kaza nedeniyle oluşan maddi ve manevi zararlardan davalıların sorumlu olduğunu belirterek fazlaya ilişkin hakları saklı kalmak kaydıyla 1.000,00 TL. maddi tazminatın ve davacı ... için 30.000,00 TL. ile ... için 20.000,00 TL. manevi tazminatı…",YARGITAY KARARI
455,14,Yargıtay,13,2013/22814,22861,2014-07-03,gebe×32 | travma×1 | illiyet×7,"…dımcı Üreme Teknikleri Merkezi'ne başvurduklarını, bir çeşit tüp bebek yöntemi olan mikroenjeksiyon yöntemi ile hamile kalmasının sağlandığını, küçük Emre'nin anne karnındaki gelişiminin izlenmesi amacı ile düzenli kontrollerinin ve işlemlerinin yapıldığını, anne karnında 6. ayına gelindiğinde davalı Dr. A.. N.. tarafından Emre'nin renkli ve detaylı ultrasonunun çekildiğini ve nihayetinde 04.10.1999…",YARGITAY KARARI
456,14,Yargıtay,2,2023/7477,4370,2024-06-06,gebe×2 | travma×5 | cenin/düşük,"…ini, ihtiyaçlarını dahi karşılamadığını, hizmetçi muamelesinin yapıldığını, kadının kürtaj yaptırmadığını, çocuğun anne karnında vefat etmesi üzerine düşük yaptığını daha sonra kalan parçaların alınması için kürtaj olduğunu, bu hususun erkeğin bilgisi dahilinde yapıldığını, pornografik filmler izlediğini kadının erkeğin askerlik yaptığı yere gittiğini ancak kadını oradan kovduğunu, daha sonra kadının eltis…",YARGITAY KARARI
457,14,Yargıtay,2,2022/7064,3843,2023-09-12,gebe×2 | travma×5 | cenin/düşük,"…ları olduğunu söylediğinde eşi ve kayınvalidesinin yalancı sancıdır diye hastaneye götürmediklerini, ailesi gelip kendisini hastaneye götürdüklerinde düşük yaptığını anladıklarını ve bu sebeple kürtaj olduğunu, daha sonra müvekkili yeni ameliyattan çıkmasına rağmen karşı tarafın müvekkiline küfür ettiğini ve tokat attığını, müvekkilinin 2010 yılında yeniden hamile kaldığını, 2 aylık iken yine kanama ve ...…",YARGITAY KARARI
458,13.9,Yargıtay,3,2008/10169,9394,2011-06-28,gebe×3 | travma×4 | cenin/düşük,"…rgıtay Ceza Genel Kurulunun istikrarlı uygulamaları ve özel ceza dairelerinin buna uyum gösteren kararlarında belirtildiği üzere gebe olan mağdurenin düşük yapmasına neden olan yaralama eyleminden ceza hükmü tesis edilirken temel cezanın 5237 sayılı TCK'nun 86/1 maddesi uyarınca tayininden sonra artırım ve indirim uygulamalarının tatbiki sonucu netice cezanın belirlenmesi gerektiğinin gözetilmemesi, 3-Sanı…",YARGITAY KARARI
459,13.8,Danıştay,10,2022/6873,7130,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
460,13.8,Danıştay,10,2022/6952,7135,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
461,13.8,Danıştay,10,2022/7531,7310,2024-12-27,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
462,13.8,Danıştay,10,2022/6825,7121,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
463,13.8,Danıştay,10,2022/6875,7132,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
464,13.8,Danıştay,10,2022/6787,7115,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
465,13.8,Danıştay,10,2022/6887,7327,2024-12-27,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…yenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün, dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
466,13.8,Danıştay,10,2022/6866,7125,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
467,13.8,Danıştay,10,2022/6789,7117,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
468,13.8,Danıştay,10,2022/6872,7129,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
469,13.8,Danıştay,10,2022/6871,7128,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
470,13.8,Danıştay,10,2022/6786,7114,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
471,13.8,Danıştay,10,2022/6860,7122,2024-12-26,gebe×2 | travma×6 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
472,13.7,Yargıtay,3,2023/12611,6359,2023-09-28,gebe×1 | travma×55 | illiyet×6,"…aşam alanlarımızın talanına izin vermeyeceğiz. Gezi Parkı'ndaki direnişten başlayarak halkın demokratik hak kullanımını engelleyen, şiddetle bastırma emrini veren, bu emri uygulatan, yüzlerce insanın yaralanmasına neden olan sorumlular, başta ... valisi, Emniyet genel müdürü olmak üzere derhal istifa etmelidir. Gaz bombası kullanılması yasaklanmalıdır. Ülkenin dört bir yanında direnişe katıldığı için…",YARGITAY KARARI
473,13.7,Yargıtay,3,2023/16986,2369,2024-02-20,gebe×1 | travma×12 | illiyet×6,"…suçlardan cezalandırılmaları imkânı bulunmamaktadır. Konusu suç teşkil eden emir hiçbir surette yerine getirilemez. Aksi takdirde yerine getiren ile emri veren sorumlu olur (1982 Anayasasının 137/2, 5237 sayılı Türk Ceza Kanunu’nun 24/3. maddesi). Askeri hizmete müteallik hususlarda verilen emir bir suç teşkil ederse bu suçun işlenmesinden emri veren mesuldür. Ancak amirin emrinin adli ve askeri bir…",YARGITAY KARARI
474,13.7,Yargıtay,1,2023/572,747,2025-02-05,gebe×5 | travma×2 | cenin/düşük,"…revlilerin sanığın ve yanındaki çantasını sedyeye koyup acile götürdükleri ve acildeki doktorun vaginal kanama nedeniyle sanığın, çocuk doğurmuş veya düşük yapmış olabileceğini tespit etmesi üzerine ilgili servise yönlendirdiği, görevlilerin çocuk sesi duyduklarını söylemeleri üzerine bebeğin sanığın yanındaki çantada bulunduğu, tanık ...'in beyanına göre doğduğunda çocuğun nefes aldığı ancak solunum sıkın…",YARGITAY KARARI
475,13.6,Yargıtay,9,2017/9096,7347,2019-04-01,gebe×6 | travma×1 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
476,13.6,Yargıtay,9,2012/8945,14146,2014-04-30,gebe×6 | travma×1 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
477,13.6,Yargıtay,9,2009/40818,4135,2012-02-15,gebe×6 | travma×1 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkanı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",EŞİT DAVRANMA İLKESİNİN İHLALİNİN TESPİTİ İSTEMİ - İŞVERENİN GÜVENLİKÇİYİ KIDEMLİ GÜVENLİK GÖREVLİSİ OLARAK ATAMASI - EŞİT DAVRANMAMA TAZMİNATININ EŞİTLİĞE AYKIRI OLARAK ATAMANIN YAPILDIĞI TARİHTEKİ Ü
478,13.6,Yargıtay,9,2011/43914,30924,2013-11-26,gebe×6 | travma×1 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
479,13.6,Yargıtay,9,2020/7393,3768,2021-02-15,gebe×6 | travma×1 | cenin/düşük,"…iddia ederek, davalılar arasındaki hizmet alım sözleşmesinin muvazaalı olduğunun kabulü ile müvekkilinin en başından beri davalı ... Zabıta Müdürlüğü emrinde zabıta memuru olduğunun tespitine; 02.03.2006 tarihinden dava tarihine kadar ücret farkları, ikramiye, ödenekler, tazminatlar, yıllık izin harçlıkları, bayram harçlıkları gibi mahrum bırakıldığı haklar, İş Kanunu&rsquo;nun 5. maddesi gereğince e…",ALACAK DAVASI - DAVACI İŞÇİ ZABITA GÖREVLİSİ OLARAK BAŞTAN İTİBAREN BELEDİYE İŞÇİSİ SAYILDIĞINDAN İLAVE TEDİYE ALACAĞI DA TOPLU İŞ SÖZLEŞMESİ YERİNE ALMAKTA OLDUĞU ÜCRETİ ÜZERİNDEN HESAPLANARAK HÜKÜM 
480,13.6,Yargıtay,9,2016/34268,17873,2020-12-09,gebe×6 | travma×1 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - DAVACI İŞÇİ ZABITA GÖREVLİSİ OLARAK BAŞTAN İTİBAREN BELEDİYE İŞÇİSİ SAYILDIĞINDAN İLAVE TEDİYE ALACAĞI YİNE TOPLU İŞ SÖZLEŞMESİ YERİNE ALMAKTA OLDUĞU ÜCRETİ ÜZERİNDEN HESAPLANARAK HÜKÜ
